;;Catálogo de indicadores económicos disponibles a consultar;
Código;Código padre;Nombre;Descripción;Indicador;Periodicidad
39527;39514;                         NP112;NP112;E05.08.09.03.99.13.00.00.00.M.USD                                     ;Mensual
39528;39514;                         NP113;NP113;E05.08.09.03.99.14.00.00.00.M.USD                                     ;Mensual
39529;39514;                         NP114;NP114;E05.08.09.03.99.15.00.00.00.M.USD                                     ;Mensual
39530;39514;                         NP115;NP115;E05.08.09.03.99.16.00.00.00.M.USD                                     ;Mensual
39531;39514;                         NP116;NP116;E05.08.09.03.99.17.00.00.00.M.USD                                     ;Mensual
39532;39514;                         NP117;NP117;E05.08.09.03.99.18.00.00.00.M.USD                                     ;Mensual
39533;39514;                         NP118;NP118;E05.08.09.03.99.19.00.00.00.M.USD                                     ;Mensual
40631;39176;               TOTAL;TOTAL;E05.08.09.02.00.00.00.00.00.M.PVI                                     ;Mensual
40632;39176;               TOTAL;TOTAL;E05.08.09.03.00.00.00.00.00.M.PVI                                     ;Mensual
89272;3779;          Codigo producto Acumulado;Codigo producto Acumulado;E05.08.11.00.00.00.00.00.00.M.USD                                     ;Mensual
89273;89272;               TOTAL Importaciones producto acumulado;TOTAL Importaciones producto acumulado;E05.08.11.01.00.00.00.00.00.M.USD                                     ;Mensual
89274;89273;                    TOTAL Importaciones producto acumulado;TOTAL Importaciones producto acumulado;E05.08.11.01.01.00.00.00.00.M.USD                                     ;Mensual
89278;89273;                    NP002;NP002;E05.08.11.01.02.00.00.00.00.M.USD                                     ;Mensual
89279;89273;                    NP003;NP003;E05.08.11.01.03.00.00.00.00.M.USD                                     ;Mensual
89280;89273;                    NP004;NP004;E05.08.11.01.04.00.00.00.00.M.USD                                     ;Mensual
89281;89273;                    NP005;NP005;E05.08.11.01.05.00.00.00.00.M.USD                                     ;Mensual
89282;89273;                    NP006;NP006;E05.08.11.01.06.00.00.00.00.M.USD                                     ;Mensual
89283;89273;                    NP007;NP007;E05.08.11.01.07.00.00.00.00.M.USD                                     ;Mensual
89284;89273;                    NP008;NP008;E05.08.11.01.08.00.00.00.00.M.USD                                     ;Mensual
89285;89273;                    NP009;NP009;E05.08.11.01.09.00.00.00.00.M.USD                                     ;Mensual
89286;89273;                    NP010;NP010;E05.08.11.01.10.00.00.00.00.M.USD                                     ;Mensual
89287;89273;                    NP011;NP011;E05.08.11.01.11.00.00.00.00.M.USD                                     ;Mensual
89288;89273;                    NP012;NP012;E05.08.11.01.12.00.00.00.00.M.USD                                     ;Mensual
89289;89273;                    NP013;NP013;E05.08.11.01.13.00.00.00.00.M.USD                                     ;Mensual
